Iteration,Timestamp,Namespace,Service,Timeout(s),Delay(s),Rate,Duration,Total,SuccessRatio(%),SuccessCount,Errors,TimeoutHits,TimeoutHitRate(%),TimeoutAccuracyMean(ms),TimeoutAccuracyP95(ms),WastedTimeMean(ms),WastedTimeP95(ms),P95_200(ms),P99_200(ms)
14,20250826_075200,objs-fed,backend,1,1,60,60s,3600,50.06,1802,1798,1798,49.944444,0,0,0,0,1014.025681,1051.116205
15,20250826_075303,objs-fed,backend,1,1,60,60s,3600,52.28,1882,1718,1718,47.722222,14.747548,68.8092,1014.747548,1068.809241,0,0
16,20250826_075406,objs-fed,backend,1,1,60,60s,3600,53.53,1927,1673,1673,46.472222,0,0,0,0,1011.179175,1045.442949
17,20250826_075508,objs-fed,backend,1,1,60,60s,3600,53.19,1915,1685,1685,46.805556,0,0,0,0,1012.681158,1045.301191
18,20250826_075610,objs-fed,backend,1,1,60,60s,3600,49.94,1798,1802,1802,50.055556,0,0,0,0,1011.825295,1025.218751
19,20250826_075712,objs-fed,backend,1,1,60,60s,3600,48.72,1754,1846,1846,51.277778,15.234324,69.7974,1015.234324,1069.797396,0,0
20,20250826_075815,objs-fed,backend,1,1,60,60s,3600,49.92,1797,1803,1803,50.083333,14.760204,72.3821,1014.760203,1072.382062,0,0
21,20250826_075917,objs-fed,backend,1,1,60,60s,3600,53.44,1924,1676,1676,46.555556,15.045958,68.6946,1015.045958,1068.6946,0,0
22,20250826_080023,objs-fed,backend,1,1,60,60s,3600,51.03,1837,1763,1763,48.972222,0,0,0,0,1013.360043,1051.19958
23,20250826_080126,objs-fed,backend,1,1,60,60s,3600,50.69,1825,1775,1775,49.305556,14.847952,66.8333,1014.847951,1066.833336,0,0
24,20250826_080229,objs-fed,backend,1,1,60,60s,3600,50.97,1835,1765,1765,49.027778,0,0,0,0,1011.891681,1046.084834
25,20250826_080331,objs-fed,backend,1,1,60,60s,3600,52.14,1877,1723,1723,47.861111,16.095522,72.8788,1016.095522,1072.87878,0,0
26,20250826_080433,objs-fed,backend,1,1,60,60s,3600,49.56,1784,1816,1816,50.444444,14.1263,62.5869,1014.1263,1062.586887,0,0
27,20250826_080535,objs-fed,backend,1,1,60,60s,3600,53.67,1932,1668,1668,46.333333,0,0,0,0,1012.551711,1061.651669
28,20250826_080638,objs-fed,backend,1,1,60,60s,3600,49.64,1787,1813,1813,50.361111,0,0,0,0,1011.712429,1044.460508
29,20250826_080740,objs-fed,backend,1,1,60,60s,3600,50.42,1815,1785,1785,49.583333,0,0,0,0,1012.566135,1055.408153
30,20250826_080842,objs-fed,backend,1,1,60,60s,3600,51.69,1861,1739,1739,48.305556,0,0,0,0,1012.053403,1028.662754
31,20250826_080944,objs-fed,backend,1,1,60,60s,3600,52.25,1881,1719,1719,47.75,13.874948,59.9412,1013.874948,1059.941217,0,0
32,20250826_081046,objs-fed,backend,1,1,60,60s,3600,50.42,1815,1785,1785,49.583333,0,0,0,0,1013.548387,1049.319086
33,20250826_081149,objs-fed,backend,1,1,60,60s,3600,54.11,1948,1652,1652,45.888889,12.983949,63.9059,1012.983948,1063.905922,0,0
34,20250826_081251,objs-fed,backend,1,1,60,60s,3600,51.31,1847,1753,1753,48.694444,13.979167,69.0089,1013.979167,1069.008883,0,0
35,20250826_081354,objs-fed,backend,1,1,60,60s,3600,51.72,1862,1738,1738,48.277778,0,0,0,0,1012.261681,1031.455464
36,20250826_081456,objs-fed,backend,1,1,60,60s,3600,52.53,1891,1709,1709,47.472222,14.119242,66.697,1014.119242,1066.69705,0,0
37,20250826_081558,objs-fed,backend,1,1,60,60s,3600,52.75,1899,1701,1701,47.25,0,0,0,0,1012.234339,1043.51748
38,20250826_081700,objs-fed,backend,1,1,60,60s,3600,53.56,1928,1672,1672,46.444444,14.368362,68.3196,1014.368363,1068.319641,0,0
39,20250826_081803,objs-fed,backend,1,1,60,60s,3600,51.92,1869,1731,1731,48.083333,0,0,0,0,1012.505906,1044.617409
40,20250826_081905,objs-fed,backend,1,1,60,60s,3600,51.89,1868,1732,1732,48.111111,0,0,0,0,1012.046337,1036.977972
41,20250826_082007,objs-fed,backend,1,1,60,60s,3600,50.89,1832,1768,1768,49.111111,14.281203,61.7329,1014.281203,1061.732869,0,0
42,20250826_082110,objs-fed,backend,1,1,60,60s,3600,54.64,1967,1633,1633,45.361111,0,0,0,0,1013.007695,1051.320714
43,20250826_082212,objs-fed,backend,1,1,60,60s,3600,50.47,1817,1783,1783,49.527778,0,0,0,0,1013.008776,1055.213544
44,20250826_082315,objs-fed,backend,1,1,60,60s,3600,48.61,1750,1850,1850,51.388889,0,0,0,0,1013.153932,1042.178486
45,20250826_082417,objs-fed,backend,1,1,60,60s,3600,51.03,1837,1763,1763,48.972222,13.97387,60.5244,1013.97387,1060.52436,0,0
46,20250826_082519,objs-fed,backend,1,1,60,60s,3600,54.5,1962,1638,1638,45.5,0,0,0,0,1012.62384,1055.460418
47,20250826_082621,objs-fed,backend,1,1,60,60s,3600,51.22,1844,1756,1756,48.777778,13.401979,63.1173,1013.401981,1063.117312,0,0
48,20250826_082723,objs-fed,backend,1,1,60,60s,3600,52.36,1885,1715,1715,47.638889,14.281664,60.4721,1014.281664,1060.472069,0,0
49,20250826_082826,objs-fed,backend,1,1,60,60s,3600,51.78,1864,1736,1736,48.222222,15.771034,72.1232,1015.771034,1072.123195,0,0
50,20250826_082928,objs-fed,backend,1,1,60,60s,3600,35.31,1271,2329,2329,64.694444,10.783364,48.4035,1010.783364,1048.403483,0,0
51,20250826_083032,objs-fed,backend,1,1.2,60,60s,3600,0,0,3600,3600,100,9.715693,41.0796,1009.715556,1041.079563,0,0
52,20250826_083135,objs-fed,backend,1,1.2,60,60s,3600,0,0,3600,3600,100,9.908245,43.6338,1009.908245,1043.633793,0,0
53,20250826_083237,objs-fed,backend,1,1.2,60,60s,3600,0,0,3600,3600,100,9.892653,38.6873,1009.892444,1038.687276,0,0
54,20250826_083339,objs-fed,backend,1,1.2,60,60s,3600,0,0,3600,3600,100,11.081263,46.4805,1011.081159,1046.480516,0,0
55,20250826_083441,objs-fed,backend,1,1.2,60,60s,3600,0,0,3600,3600,100,10.961306,41.4959,1010.96112,1041.495937,0,0
56,20250826_083543,objs-fed,backend,1,1.2,60,60s,3600,0,0,3600,3600,100,11.008905,37.594,1011.00884,1037.594014,0,0
57,20250826_083645,objs-fed,backend,1,1.2,60,60s,3600,0,0,3600,3600,100,11.275612,40.2444,1011.275612,1040.244401,0,0
58,20250826_083747,objs-fed,backend,1,1.2,60,60s,3600,0,0,3600,3600,100,11.30542,39.4455,1011.30542,1039.445523,0,0
